timestamp,event,kind,key
2025-09-25T00:08:22.425405,press,special,Key.space
2025-09-25T00:08:22.843145,press,char,c
2025-09-25T00:08:22.992612,press,char,h
2025-09-25T00:08:23.124064,press,char,a
2025-09-25T00:08:23.316190,press,char,t
2025-09-25T00:08:23.448527,press,special,Key.space
2025-09-25T00:08:23.937918,press,char,o
2025-09-25T00:08:24.169722,press,char,p
2025-09-25T00:08:24.343879,press,char,t
2025-09-25T00:08:24.443921,press,char,i
2025-09-25T00:08:24.647919,press,char,o
2025-09-25T00:08:24.767127,press,char,n
2025-09-25T00:08:24.912748,press,special,Key.space
2025-09-25T00:08:25.203619,press,char,s
2025-09-25T00:08:25.504016,press,char,i
2025-09-25T00:08:25.737214,press,char,m
2025-09-25T00:08:25.950559,press,char,u
2025-09-25T00:08:26.167217,press,char,l
2025-09-25T00:08:26.237365,press,char,a
2025-09-25T00:08:26.469892,press,char,t
2025-09-25T00:08:26.488500,press,char,i
2025-09-25T00:08:26.684761,press,char,o
2025-09-25T00:08:26.786825,press,char,n
2025-09-25T00:08:26.888685,press,special,Key.space
2025-09-25T00:08:27.368405,press,char,c
2025-09-25T00:08:27.501758,press,char,o
2025-09-25T00:08:27.701239,press,char,n
2025-09-25T00:08:27.853396,press,char,n
2025-09-25T00:08:27.936897,press,char,e
2025-09-25T00:08:28.154111,press,char,c
2025-09-25T00:08:28.380097,press,char,t
2025-09-25T00:08:28.455767,press,special,Key.enter
2025-09-25T00:09:07.640766,press,special,Key.ctrl_l
2025-09-25T00:09:07.881511,press,char,
2025-09-25T00:09:08.159964,press,special,Key.ctrl_l
2025-09-25T00:09:08.666113,press,char,
2025-09-25T00:09:09.077970,press,special,Key.ctrl_l
2025-09-25T00:09:09.519617,press,char,
2025-09-25T00:09:25.157515,press,special,Key.ctrl_l
2025-09-25T00:09:25.442233,press,char,
2025-09-25T00:09:25.757953,press,special,Key.ctrl_l
2025-09-25T00:09:26.711888,press,char,
2025-09-25T00:09:27.211005,press,special,Key.ctrl_l
2025-09-25T00:09:27.874210,press,char,
2025-09-25T00:09:31.487420,press,char,i
2025-09-25T00:09:31.596583,press,char,s
2025-09-25T00:09:31.728149,press,char,f
2025-09-25T00:09:31.757888,press,char,d
2025-09-25T00:09:31.919165,press,char,g
2025-09-25T00:09:31.989484,press,char,s
2025-09-25T00:09:32.135416,press,char,d
2025-09-25T00:09:32.193577,press,char,o
2025-09-25T00:09:32.316493,press,char,g
2025-09-25T00:09:32.419679,press,char,s
2025-09-25T00:09:32.518775,press,char,d
2025-09-25T00:09:32.612841,press,char,f
2025-09-25T00:09:32.627073,press,char,s
2025-09-25T00:09:32.638829,press,char,o
2025-09-25T00:09:43.506694,press,special,Key.ctrl_l
2025-09-25T00:09:43.782752,press,char,
2025-09-25T00:09:44.114304,press,special,Key.ctrl_l
2025-09-25T00:09:44.530010,press,char,
2025-09-25T00:09:44.954617,press,special,Key.ctrl_l
2025-09-25T00:09:45.405686,press,char,
2025-09-25T00:09:50.754421,press,special,Key.ctrl_l
2025-09-25T00:09:51.049348,press,char,
2025-09-25T00:09:51.967884,press,special,Key.ctrl_l
2025-09-25T00:09:52.316209,press,char,
2025-09-25T00:09:53.034079,press,special,Key.ctrl_l
2025-09-25T00:09:53.278751,press,char,
2025-09-25T00:09:59.061672,press,special,Key.ctrl_l
2025-09-25T00:09:59.405675,press,char,
2025-09-25T00:09:59.760636,press,special,Key.ctrl_l
2025-09-25T00:10:00.392211,press,char,
2025-09-25T00:10:00.881794,press,special,Key.ctrl_l
2025-09-25T00:10:01.557062,press,char,
2025-09-25T00:10:13.977513,press,special,Key.ctrl_l
2025-09-25T00:10:14.694325,press,char,
2025-09-25T00:10:19.336882,press,char,a
2025-09-25T00:10:19.581209,press,char,d
2025-09-25T00:10:19.696224,press,char,m
2025-09-25T00:10:19.915428,press,char,i
2025-09-25T00:10:20.013025,press,char,n
2025-09-25T00:10:21.797811,press,char,p
2025-09-25T00:10:21.946275,press,char,a
2025-09-25T00:10:22.147213,press,char,s
2025-09-25T00:10:22.285550,press,char,s
2025-09-25T00:10:22.465391,press,char,w
2025-09-25T00:10:22.657467,press,char,o
2025-09-25T00:10:22.768997,press,char,r
2025-09-25T00:10:22.998521,press,char,d
2025-09-25T00:10:23.453249,press,char,1
2025-09-25T00:10:23.582367,press,char,2
2025-09-25T00:10:23.803103,press,char,3
2025-09-25T00:10:23.970112,press,special,Key.enter
2025-09-25T00:10:32.685843,press,char,d
2025-09-25T00:10:32.698459,press,char,s
2025-09-25T00:10:32.913662,press,char,f
2025-09-25T00:10:33.040306,press,char,s
2025-09-25T00:10:33.398499,press,char,d
2025-09-25T00:10:35.133404,press,char,m
2025-09-25T00:10:35.223589,press,char,y
2025-09-25T00:10:35.378282,press,special,Key.space
2025-09-25T00:10:35.653896,press,char,n
2025-09-25T00:10:35.739751,press,char,a
2025-09-25T00:10:35.914529,press,char,m
2025-09-25T00:10:36.050686,press,char,e
2025-09-25T00:10:36.169334,press,special,Key.space
2025-09-25T00:10:36.843983,press,char,i
2025-09-25T00:10:36.920295,press,char,s
2025-09-25T00:10:37.079279,press,special,Key.space
2025-09-25T00:10:37.356299,press,char,a
2025-09-25T00:10:37.519612,press,char,n
2025-09-25T00:10:38.005699,press,char,t
2025-09-25T00:10:38.082985,press,char,h
2025-09-25T00:10:38.205358,press,char,o
2025-09-25T00:10:38.438234,press,char,n
2025-09-25T00:10:38.587394,press,char,y
2025-09-25T00:10:49.036942,press,char,w
2025-09-25T00:10:49.213588,press,char,h
2025-09-25T00:10:49.259492,press,char,a
2025-09-25T00:10:49.545151,press,char,t
2025-09-25T00:10:49.722845,press,special,Key.space
2025-09-25T00:10:49.810412,press,char,a
2025-09-25T00:10:50.175490,press,char,r
2025-09-25T00:10:50.257896,press,char,e
2025-09-25T00:10:50.368073,press,special,Key.space
2025-09-25T00:10:50.551195,press,char,y
2025-09-25T00:10:50.675666,press,char,o
2025-09-25T00:10:50.787259,press,char,u
2025-09-25T00:10:50.919788,press,special,Key.space
2025-09-25T00:10:51.498296,press,char,d
2025-09-25T00:10:51.654825,press,char,o
2025-09-25T00:10:52.154057,press,char,i
2025-09-25T00:10:52.458653,press,char,n
2025-09-25T00:10:52.642515,press,char,g
2025-09-25T00:10:52.975218,press,special,Key.enter
2025-09-25T00:10:56.928077,press,char,n
2025-09-25T00:10:57.175231,press,char,o
2025-09-25T00:10:57.376824,press,char,t
2025-09-25T00:10:57.477696,press,char,h
2025-09-25T00:10:57.598501,press,char,i
2025-09-25T00:10:57.810466,press,char,n
2025-09-25T00:10:57.923366,press,char,g
2025-09-25T00:10:58.065959,press,special,Key.space
2025-09-25T00:10:58.412253,press,char,m
2025-09-25T00:10:58.503626,press,char,a
2025-09-25T00:10:58.644993,press,char,n
2025-09-25T00:11:07.368250,press,char,n
2025-09-25T00:11:07.607518,press,char,o
2025-09-25T00:11:07.723368,press,char,t
2025-09-25T00:11:07.798531,press,char,h
2025-09-25T00:11:07.920918,press,char,i
2025-09-25T00:11:08.144932,press,char,n
